models,abilities,model_droped
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.43938696,kmeans_n_clusters_7
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.4375982,kmeans_n_clusters_7
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.43165138,kmeans_n_clusters_7
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.42599502,kmeans_n_clusters_7
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.42097643,kmeans_n_clusters_7
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.41828087,kmeans_n_clusters_7
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5483999,kmeans_n_clusters_8
kmeans_n_clusters_2,0.5475758,kmeans_n_clusters_8
kmeans_n_clusters_5,0.5426099,kmeans_n_clusters_8
kmeans_n_clusters_3,0.5424426,kmeans_n_clusters_8
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.53361803,kmeans_n_clusters_8
mean_shift_,0.5251757,kmeans_n_clusters_8
optics_,0.5171722,kmeans_n_clusters_8
kmeans_n_clusters_1,0.5157098,kmeans_n_clusters_8
dbscan_eps_np_float640_2_min_samples_2,0.5157098,kmeans_n_clusters_8
dbscan_eps_np_float640_1_min_samples_2,0.5157098,kmeans_n_clusters_8
dbscan_eps_np_float640_8_min_samples_2,0.5157098,kmeans_n_clusters_8
dbscan_eps_np_float640_9_min_samples_2,0.5157098,kmeans_n_clusters_8
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.5157098,kmeans_n_clusters_8
dbscan_eps_np_float640_7_min_samples_2,0.5157098,kmeans_n_clusters_8
dbscan_eps_np_float640_3_min_samples_2,0.5157098,kmeans_n_clusters_8
dbscan_eps_np_float640_6_min_samples_2,0.5157098,kmeans_n_clusters_8
dbscan_eps_np_float640_5_min_samples_2,0.5157098,kmeans_n_clusters_8
dbscan_eps_np_float640_4_min_samples_2,0.5157098,kmeans_n_clusters_8
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.5157098,kmeans_n_clusters_8
kmeans_n_clusters_4,0.5036497,kmeans_n_clusters_8
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.48767614,kmeans_n_clusters_8
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.48516408,kmeans_n_clusters_8
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.47135776,kmeans_n_clusters_8
kmeans_n_clusters_6,0.46584493,kmeans_n_clusters_8
kmeans_n_clusters_7,0.46181,kmeans_n_clusters_8
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.4581199,kmeans_n_clusters_8
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.45022547,kmeans_n_clusters_8
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.45014754,kmeans_n_clusters_8
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.43921724,kmeans_n_clusters_8
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.43748334,kmeans_n_clusters_8
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.4314547,kmeans_n_clusters_8
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.42572844,kmeans_n_clusters_8
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.42061445,kmeans_n_clusters_8
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.4179868,kmeans_n_clusters_8
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.55117345,dbscan_eps_np_float640_1_min_samples_2
kmeans_n_clusters_2,0.5503468,dbscan_eps_np_float640_1_min_samples_2
kmeans_n_clusters_5,0.54538697,dbscan_eps_np_float640_1_min_samples_2
kmeans_n_clusters_3,0.54519755,dbscan_eps_np_float640_1_min_samples_2
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5363236,dbscan_eps_np_float640_1_min_samples_2
mean_shift_,0.5280437,dbscan_eps_np_float640_1_min_samples_2
optics_,0.52000296,dbscan_eps_np_float640_1_min_samples_2
kmeans_n_clusters_1,0.51851445,dbscan_eps_np_float640_1_min_samples_2
dbscan_eps_np_float640_2_min_samples_2,0.51851445,dbscan_eps_np_float640_1_min_samples_2
dbscan_eps_np_float640_3_min_samples_2,0.51851445,dbscan_eps_np_float640_1_min_samples_2
dbscan_eps_np_float640_8_min_samples_2,0.51851445,dbscan_eps_np_float640_1_min_samples_2
dbscan_eps_np_float640_9_min_samples_2,0.51851445,dbscan_eps_np_float640_1_min_samples_2
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.51851445,dbscan_eps_np_float640_1_min_samples_2
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.51851445,dbscan_eps_np_float640_1_min_samples_2
dbscan_eps_np_float640_7_min_samples_2,0.51851445,dbscan_eps_np_float640_1_min_samples_2
dbscan_eps_np_float640_6_min_samples_2,0.51851445,dbscan_eps_np_float640_1_min_samples_2
dbscan_eps_np_float640_5_min_samples_2,0.51851445,dbscan_eps_np_float640_1_min_samples_2
dbscan_eps_np_float640_4_min_samples_2,0.51851445,dbscan_eps_np_float640_1_min_samples_2
kmeans_n_clusters_4,0.50628334,dbscan_eps_np_float640_1_min_samples_2
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.49030173,dbscan_eps_np_float640_1_min_samples_2
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.48781466,dbscan_eps_np_float640_1_min_samples_2
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.47389543,dbscan_eps_np_float640_1_min_samples_2
kmeans_n_clusters_6,0.46837202,dbscan_eps_np_float640_1_min_samples_2
kmeans_n_clusters_7,0.46435866,dbscan_eps_np_float640_1_min_samples_2
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.46067637,dbscan_eps_np_float640_1_min_samples_2
kmeans_n_clusters_8,0.45487237,dbscan_eps_np_float640_1_min_samples_2
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.45272428,dbscan_eps_np_float640_1_min_samples_2
